Species,Genus,Order,Vore,OrderVore,carni,herbi,insecti,omni,Conservation,conservation_cat,BodyWt,BrainWt,BrainBodyWtRatio,TotalSleep,Awake,NonDreaming,Dreaming,DreamRatio,rem,sws,LifeSpan,Gestation,BodyWt_log,BrainWt_log,BrainBodyWtRatio_log,Dreaming_log,rem_log,sws_log,DreamRatio_log,NonDreaming_log,Awake_log,TotalSleep_log,LifeSpan_log,Gestation_log,Predation,Exposure,Danger,BodyWt_norm,BrainWt_norm,BrainBodyWtRatio_norm,TotalSleep_norm,Awake_norm,NonDreaming_norm,Dreaming_norm,rem_norm,sws_norm,DreamRatio_norm,LifeSpan_norm,Gestation_norm
African elephant,Loxodonta,Proboscidea,herbi,Proboscidea-herbi,0,1,0,0,vu,3,6654.0,5712.0,0.8584310189359784,3.3,20.7,1.8,1.5,0.0625,0.4545454545454546,0.5454545454545455,38.6,645.0,6.126278853953292,4.6598781857600615,0.760637623074085,0.17609125905568124,0.339607569850777,0.339607569850777,0.007337135793986718,0.17609125905568124,0.17609125905568124,0.5185139398778874,1.586587304671755,2.8095597146352675,3.0,5.0,3.0,1.0,1.0,1.0,0.07777777777777778,0.9222222222222223,0.012269938650306747,0.21538461538461537,2.769230769230769,0.15775635407537245,0.008974358974358974,0.3734693877551021,1.0
African giant pouched rat,Cricetomys,Rodentia,omni,Rodentia-omni,0,0,0,1,lc,1,1.0,6.6,6.6,8.3,15.7,6.3,2.0,0.08333333333333333,0.24096385542168672,0.7590361445783131,4.5,42.0,2.303196057420489,1.7226339225338123,0.747931951769278,0.3010299956639812,0.32753473090163043,0.32753473090163043,0.012542916485999216,0.3010299956639812,0.3010299956639812,0.919078092376074,0.6532125137753437,1.6232492903979006,3.0,1.0,3.0,0.0001495342271823168,0.001130980101052897,7.5633527010105235,0.35555555555555557,0.6444444444444444,0.2883435582822086,0.29230769230769227,0.8221153846153845,0.8109662576687117,0.012179487179487178,0.025510204081632654,0.04739336492890995
African striped mouse,Rhabdomys,Rodentia,omni,Rodentia-omni,0,0,0,1,lc,1,0.044,0.2904,6.6000000000000005,8.7,15.3,7.2,1.5,0.0625,0.1724137931034483,0.8275862068965518,4.5,42.0,0.9466487339066763,0.3660865990199997,0.3867185217786281,0.17609125905568124,0.18742698307126915,0.18742698307126915,0.007337135793986718,0.17609125905568124,0.17609125905568124,0.9395192526186185,0.6532125137753437,1.6232492903979006,3.0,1.0,3.0,5.8611405629249795e-06,2.633117758488478e-05,4.492500615229114,0.3777777777777777,0.6222222222222222,0.34355828220858897,0.21538461538461537,0.5701357466063349,0.9094189823168534,0.008974358974358974,0.025510204081632654,0.04739336492890995
Arctic fox,Vulpes,Carnivora,carni,Carnivora-carni,1,0,0,0,lc,1,3.38,44.5,13.165680473372781,12.5,11.5,10.4,2.1,0.08750000000000001,0.168,0.8320000000000001,14.0,60.0,2.8321127576981437,2.5514499979728753,0.900899863904648,0.3222192947339193,0.29375180362361475,0.29375180362361475,0.013425803947246637,0.3222192947339193,0.3222192947339193,1.0969100130080565,1.146128035678238,1.7781512503836436,1.0,1.0,1.0,0.0005072140871762002,0.007766296792988624,15.311674082685139,0.5888888888888889,0.41111111111111115,0.539877300613497,0.3076923076923077,0.5224963715529753,0.916772774626693,0.012820512820512822,0.12244897959183673,0.07582938388625593
Arctic ground squirrel,Spermophilus,Rodentia,herbi,Rodentia-herbi,0,1,0,0,lc,1,0.92,5.7,6.195652173913043,16.6,7.4,13.8,2.8,0.11666666666666665,0.1686746987951807,0.8313253012048193,5.8999999999999995,25.0,2.266983884766044,1.658964842664435,0.7317938401823454,0.4471580313422192,0.36649050664070293,0.36649050664070293,0.018631584639259135,0.4471580313422192,0.4471580313422192,1.2201080880400552,0.7708520116421441,1.3979400086720377,5.0,2.0,3.0,0.0001375113747455476,0.0009734132139093047,7.078783233099938,0.8166666666666668,0.18333333333333338,0.7484662576687119,0.41538461538461535,0.5086342229199371,0.916489295104545,0.017307692307692305,0.03979591836734693,0.020537124802527645
Asian elephant,Elephas,Proboscidea,herbi,Proboscidea-herbi,0,1,0,0,en,4,2547.0,4603.0,1.8072241853160582,3.9,20.1,2.1,1.8,0.075,0.46153846153846156,0.5384615384615385,69.0,624.0,5.709225002384104,4.566130961885918,0.7997812242430726,0.25527250510330607,0.43188595978960626,0.43188595978960626,0.01063635437930442,0.25527250510330607,0.25527250510330607,0.5910646070264992,1.8388490907372552,2.795184589682424,3.0,5.0,4.0,0.3827768130273618,0.8058425801752844,2.1052544269908036,0.1111111111111111,0.8888888888888888,0.030674846625766878,0.26153846153846155,2.353846153846154,0.2760736196319019,0.010897435897435899,0.6836734693877551,0.966824644549763
Baboon,Papio,Primates,omni,Primates-omni,0,0,0,1,lc,1,25.235,180.0,7.1329502674856355,9.4,14.6,8.5,0.9,0.0375,0.09574468085106383,0.9042553191489361,27.0,180.0,3.7051993664901937,3.1583624920952498,0.852413643557069,-0.045757490560675115,-0.04702104702009455,-0.04702104702009455,-0.0019065621066947965,-0.045757490560675115,-0.045757490560675115,0.9731278535996987,1.4313637641589874,2.255272505103306,4.0,4.0,4.0,0.0037917070872460833,0.031488867024051716,8.304667607360482,0.4166666666666667,0.5833333333333334,0.42331288343558293,0.12307692307692308,0.2953846153846154,1.015950920245399,0.005128205128205128,0.25510204081632654,0.26540284360189575
Big brown bat,Eptesicus,Chiroptera,insecti,Chiroptera-insecti,0,0,1,0,lc,1,0.023,0.3,13.043478260869565,19.7,4.3,15.8,3.9,0.1625,0.19796954314720813,0.802030456852792,19.0,35.0,0.6649238934380818,0.38021124171160603,0.5718116696719541,0.5910646070264992,0.4566087512218449,0.4566087512218449,0.024627691959437467,0.5910646070264992,0.5910646070264992,1.294466226161593,1.2787536009528289,1.5440680443502757,1.0,1.0,1.0,2.7051417982730673e-06,2.801189104774977e-05,10.355054609570653,0.9888888888888889,0.01111111111111112,0.8711656441717793,0.5846153846153845,0.5911840968020742,0.8809540221961814,0.024358974358974356,0.17346938775510204,0.036334913112164295
Bottle-nosed dolphin,Tursiops,Cetacea,carni,Cetacea-carni,1,0,0,0,lc,1,173.33,901.3160000000001,5.2,5.2,18.8,4.3,0.9,0.0375,0.17307692307692307,0.8269230769230769,50.0,365.0,4.542069794438359,3.857967067644613,0.8493852455478752,-0.045757490560675115,-0.06390681128440921,-0.06390681128440921,-0.0019065621066947965,-0.045757490560675115,-0.045757490560675115,0.7160033436347992,1.6989700043360187,2.5622928644564746,1.0,1.0,1.0,0.02604826123253775,0.15777277454279345,6.0569407352884745,0.18333333333333335,0.8166666666666668,0.16564417177914112,0.12307692307692308,0.6713286713286714,0.9035136642498606,0.005128205128205128,0.4897959183673469,0.5576619273301737
Brazilian tapir,Tapirus,Perissodactyla,herbi,Perissodactyla-herbi,0,1,0,0,vu,3,207.501,169.0,0.8144539062462349,4.4,19.6,5.2,1.0,0.041666666666666664,0.22727272727272727,1.1818181818181817,30.4,392.0,4.620216251449012,3.130976691605617,0.6776688624961368,0.0,0.0,0.0,0.0,0.0,0.0,0.6434526764861874,1.4828735836087537,2.593286067020457,4.0,5.0,4.0,0.031183672365248247,0.029563049514518918,0.948029762763433,0.13888888888888892,0.8611111111111112,0.22085889570552153,0.13846153846153847,0.9969230769230767,1.5901840490797545,0.0057692307692307696,0.2897959183673469,0.6003159557661928
Caspian seal,Phoca,Carnivora,carni,Carnivora-carni,1,0,0,0,vu,3,86.0,615.4997343793221,7.1569736555735135,3.5,20.5,2.9,0.4,0.016666666666666666,0.1142857142857143,0.8285714285714285,22.3875,66.83333333333333,4.237694508664057,3.6923178568382884,0.8713034526885469,-0.3979400086720376,-0.7314158822675504,-0.7314158822675504,-0.016580833694668232,-0.3979400086720376,-0.3979400086720376,0.5440680443502757,1.3500055988570878,1.8249931222365385,1.0,2.0,1.0,0.01292381494124958,0.10773368646628632,8.336059202026128,0.08888888888888889,0.911111111111111,0.07975460122699386,0.04615384615384616,0.5192307692307693,0.8972392638036809,0.0019230769230769234,0.20803571428571427,0.08662453923117429
Cheetah,Acinonyx,Carnivora,carni,Carnivora-carni,1,0,0,0,lc,1,50.0,357.84868277867565,7.156973655573513,12.1,11.9,10.0,2.1,0.08750000000000001,0.17355371900826447,0.8264462809917356,22.3875,66.83333333333333,4.002166061756507,3.4567894099307392,0.8637296295530505,0.3222192947339193,0.29758371655848004,0.29758371655848004,0.013425803947246637,0.3222192947339193,0.3222192947339193,1.08278537031645,1.3500055988570878,1.8249931222365385,1.0,2.0,1.0,0.007513531344703445,0.06262560405518967,8.335042629367173,0.5666666666666667,0.43333333333333335,0.5153374233128836,0.3076923076923077,0.5429864253393666,0.9094189823168534,0.012820512820512822,0.20803571428571427,0.08662453923117429
Chimpanzee,Pan,Primates,omni,Primates-omni,0,0,0,1,en,4,52.2,440.0,8.42911877394636,9.7,14.3,8.7,1.0,0.041666666666666664,0.10309278350515465,0.8969072164948454,50.0,230.0,4.020866560422751,3.546542663478131,0.8820344097928111,0.0,0.0,0.0,0.0,0.0,0.0,0.9867717342662449,1.6989700043360187,2.361727836017593,1.0,1.0,1.0,0.007844159786714598,0.07700818997664509,9.817264317724812,0.4333333333333333,0.5666666666666668,0.4355828220858896,0.13846153846153847,0.31952662721893493,1.0051911278905146,0.0057692307692307696,0.4897959183673469,0.344391785150079
Chinchilla,Chinchilla,Rodentia,herbi,Rodentia-herbi,0,1,0,0,domesticated,0,0.42,6.4,15.238095238095239,12.5,11.5,11.0,1.5,0.0625,0.12,0.88,7.0,112.0,1.9264453478183894,1.7092699609758308,0.8872662611018269,0.17609125905568124,0.16053391524140267,0.16053391524140267,0.007337135793986718,0.17609125905568124,0.17609125905568124,1.0969100130080565,0.8450980400142568,2.0492180226701815,5.0,4.0,4.0,6.236854701574017e-05,0.0010959652372432098,17.572402912747307,0.5888888888888889,0.41111111111111115,0.5766871165644173,0.21538461538461537,0.3657474600870827,0.9792800092603312,0.008974358974358974,0.05102040816326531,0.1579778830963665
Common porpoise,Phocoena,Cetacea,carni,Cetacea-carni,1,0,0,0,vu,3,53.18,276.536,5.2,5.6,18.4,4.6,1.0,0.041666666666666664,0.17857142857142858,0.8214285714285714,10.0,315.0,4.028944390416037,3.344841663622291,0.8302029860672502,0.0,0.0,0.0,0.0,0.0,0.0,0.7481880270062004,1.0,2.4983105537896004,1.0,1.0,1.0,0.00799143972906502,0.04838984148771154,6.055209465162674,0.20555555555555555,0.7944444444444444,0.18404907975460122,0.13846153846153847,0.6735966735966736,0.8953739015088709,0.0057692307692307696,0.08163265306122448,0.4786729857819905
Cotton rat,Sigmodon,Rodentia,herbi,Rodentia-herbi,0,1,0,0,lc,1,0.148,1.18,7.972972972972973,11.3,12.7,9.4,1.1,0.04583333333333334,0.09734513274336283,0.831858407079646,5.8999999999999995,31.714285714285715,1.4734577728154463,0.9749719942980689,0.6616898103805966,0.04139268515822508,0.03930636451098981,0.03930636451098981,0.0017246952149260449,0.04139268515822508,0.04139268515822508,1.0530784434834197,0.7708520116421441,1.501254934436382,4.0,1.0,3.0,2.1490848730724924e-05,0.00018207729181037353,8.472317407830534,0.5222222222222223,0.47777777777777775,0.4785276073619633,0.15384615384615385,0.2945990180032733,0.9163294609058872,0.006410256410256411,0.03979591836734693,0.03114421123899797
Cow,Bos,Artiodactyla,herbi,Artiodactyla-herbi,0,1,0,0,domesticated,0,600.0,423.0,0.705,4.0,20.0,3.2,0.7,0.029166666666666664,0.175,0.8,30.0,281.0,5.0813473078041325,3.529430354366986,0.6945855381596036,-0.1549019599857432,-0.25728658641487917,-0.25728658641487917,-0.0064542483327393,-0.1549019599857432,-0.1549019599857432,0.6020599913279624,1.4771212547196624,2.44870631990508,5.0,5.0,5.0,0.09017064184749163,0.07403192655282168,0.8210202903738242,0.11666666666666667,0.8833333333333333,0.098159509202454,0.0923076923076923,0.7912087912087912,0.84136722173532,0.003846153846153846,0.2857142857142857,0.42496050552922593
Deer mouse,Peromyscus,Rodentia,herbi,Rodentia-herbi,0,1,0,0,nt,2,0.021,0.2825139921934442,13.453047247306866,11.5,12.5,9.5,2.0,0.08333333333333333,0.17391304347826086,0.8260869565217391,5.8999999999999995,31.714285714285715,0.6254153521544081,0.3541299491718879,0.5662316218365825,0.3010299956639812,0.2838037226168245,0.2838037226168245,0.012542916485999216,0.3010299956639812,0.3010299956639812,1.0606978403536116,0.7708520116421441,1.501254934436382,4.0,1.0,3.0,2.404570487353838e-06,2.4950540138141374e-05,10.37629808290575,0.5333333333333333,0.4666666666666667,0.48466257668711665,0.29230769230769227,0.548076923076923,0.9087423312883437,0.012179487179487178,0.03979591836734693,0.03114421123899797
Degu,Octodon,Rodentia,herbi,Rodentia-herbi,0,1,0,0,lc,1,0.21,2.8251399219344413,13.453047247306865,7.7,16.3,6.4,0.9,0.0375,0.11688311688311688,0.8311688311688312,5.8999999999999995,31.714285714285715,1.6254153521544081,1.354129949171888,0.8330977970504925,-0.045757490560675115,-0.05161643462403086,-0.05161643462403086,-0.0019065621066947965,-0.045757490560675115,-0.045757490560675115,0.8864907251724818,0.7708520116421441,1.501254934436382,4.0,1.0,3.0,3.080855936922105e-05,0.00047009904338244306,15.25871553254419,0.32222222222222224,0.6777777777777778,0.29447852760736204,0.12307692307692308,0.3819628647214854,0.9138988787814684,0.005128205128205128,0.03979591836734693,0.03114421123899797
Desert hedgehog,Paraechinus,Erinaceomorpha,insecti,Erinaceomorpha-insecti,0,0,1,0,lc,1,0.55,2.4,4.363636363636363,10.3,13.7,7.6,2.7,0.1125,0.2621359223300971,0.7378640776699028,3.5,35.0,2.0435587469147327,1.2833012287035497,0.6279737397522908,0.43136376415898736,0.4258964359100777,0.4258964359100777,0.01797349017329114,0.43136376415898736,0.43136376415898736,1.0128372247051722,0.5440680443502757,1.5440680443502757,2.0,1.0,2.0,8.190568222549011e-05,0.0003956679610494655,4.830775476116216,0.4666666666666667,0.5333333333333333,0.3680981595092025,0.4,0.8571428571428572,0.7887817703768625,0.016666666666666666,0.015306122448979591,0.036334913112164295
Dog,Canis,Carnivora,carni,Carnivora-carni,1,0,0,0,domesticated,0,14.0,70.0,5.0,10.1,13.9,8.4,2.9,0.12083333333333333,0.2871287128712871,0.8316831683168318,22.3875,66.83333333333333,3.449324093098727,2.7481880270062002,0.7967323315616146,0.4623979978989561,0.46040840110511205,0.46040840110511205,0.019266583245789837,0.4623979978989561,0.4623979978989561,1.0043213737826426,1.3500055988570878,1.8249931222365385,1.0,2.0,1.0,0.00210324774815731,0.012230691928723744,5.815145619168857,0.4555555555555555,0.5444444444444445,0.41717791411042954,0.43076923076923074,0.9455909943714822,0.9157563968277723,0.017948717948717947,0.20803571428571427,0.08662453923117429
Domestic cat,Felis,Carnivora,carni,Carnivora-carni,1,0,0,0,domesticated,0,3.3,25.6,7.757575757575759,12.5,11.5,10.9,3.6,0.15,0.28800000000000003,0.872,28.0,63.0,2.821709997298376,2.3113299523037933,0.8191238484878878,0.5563025007672873,0.5071541823578936,0.5071541823578936,0.023179270865303636,0.5563025007672873,0.5563025007672873,1.0969100130080565,1.4471580313422192,1.7993405494535817,1.0,2.0,1.0,0.000495191234739431,0.004457392162973183,9.001355133676098,0.5888888888888889,0.41111111111111115,0.570552147239264,0.5384615384615384,0.9143686502177067,0.9688621368213916,0.022435897435897436,0.2653061224489796,0.08056872037914692
Donkey,Equus,Perissodactyla,herbi,Perissodactyla-herbi,0,1,0,0,domesticated,0,187.0,419.0,2.2406417112299466,3.1,20.9,2.6,0.4,0.016666666666666666,0.12903225806451613,0.8387096774193549,40.0,365.0,4.575037663956988,3.525304009958239,0.770551909928797,-0.3979400086720376,-0.80987185949879,-0.80987185949879,-0.016580833694668232,-0.3979400086720376,-0.3979400086720376,0.4913616938342727,1.6020599913279623,2.5622928644564746,5.0,5.0,5.0,0.028102666142670683,0.07333162927662794,2.609418939268622,0.06666666666666668,0.9333333333333331,0.061349693251533756,0.04615384615384616,0.6923076923076923,0.9202453987730062,0.0019230769230769234,0.3877551020408163,0.5576619273301737
Eastern american chipmunk,Tamias,Rodentia,herbi,Rodentia-herbi,0,1,0,0,lc,1,0.112,1.506741291698369,13.453047247306865,15.8,8.2,13.1,2.7,0.1125,0.17088607594936708,0.8291139240506329,5.8999999999999995,31.714285714285715,1.3524140800906705,1.08112867710815,0.799406552345024,0.43136376415898736,0.3598725347338554,0.3598725347338554,0.01797349017329114,0.43136376415898736,0.43136376415898736,1.1986570869544226,0.7708520116421441,1.501254934436382,4.0,1.0,3.0,1.608056513417879e-05,0.00023928130095947185,14.880154954932905,0.7722222222222223,0.22777777777777775,0.7055214723926382,0.4,0.5179856115107914,0.9136249282782365,0.016666666666666666,0.03979591836734693,0.03114421123899797
Eastern american mole,Scalopus,Soricomorpha,insecti,Soricomorpha-insecti,0,0,1,0,lc,1,0.075,1.2,16.0,8.4,15.6,6.3,2.1,0.08750000000000001,0.25,0.75,3.5,42.0,1.178257320812189,0.9822712330395684,0.8336644429779357,0.3222192947339193,0.34861680835325604,0.34861680835325604,0.013425803947246637,0.3222192947339193,0.3222192947339193,0.9242792860618817,0.5440680443502757,1.6232492903979006,1.0,1.0,1.0,1.051999588217304e-05,0.00018557877819134225,17.640575174161434,0.3611111111111111,0.6388888888888888,0.2883435582822086,0.3076923076923077,0.8520710059171598,0.7984898537045777,0.012820512820512822,0.015306122448979591,0.04739336492890995
European hedgehog,Erinaceus,Erinaceomorpha,omni,Erinaceomorpha-omni,0,0,0,1,lc,1,0.77,3.4999999999999996,4.545454545454545,10.1,13.9,6.6,4.1,0.1708333333333333,0.4059405940594059,0.6534653465346535,6.0,42.0,2.189686782592971,1.4471580313422192,0.6608972766545779,0.6127838567197355,0.6101471826809447,0.6101471826809447,0.025532660696655645,0.6127838567197355,0.6127838567197355,1.0043213737826426,0.7781512503836436,1.6232492903979006,2.0,2.0,2.0,0.00011496852642660538,0.0005882497120027451,5.116615218846674,0.4555555555555555,0.5444444444444445,0.3067484662576688,0.6153846153846153,1.350844277673546,0.6733502917851266,0.025641025641025637,0.04081632653061224,0.04739336492890995
Galago,Galago,Primates,omni,Primates-omni,0,0,0,1,lc,1,0.2,5.0,25.0,9.8,14.2,8.8,1.0,0.041666666666666664,0.1020408163265306,0.8979591836734694,10.4,120.0,1.60422605308447,1.6020599913279623,0.9986497777215729,0.0,0.0,0.0,0.0,0.0,0.0,0.9912260756924949,1.0170333392987803,2.0791812460476247,2.0,2.0,2.0,2.93057028146249e-05,0.0008508611905753994,29.03398003991156,0.4388888888888889,0.5611111111111111,0.4417177914110431,0.13846153846153847,0.31548198636806235,1.0064456006833893,0.0057692307692307696,0.08571428571428572,0.17061611374407584
Genet,Genetta,Carnivora,carni,Carnivora-carni,1,0,0,0,lc,1,2.0,17.5,8.75,6.3,17.7,4.8,1.3,0.05416666666666667,0.20634920634920637,0.7619047619047619,34.0,66.83333333333333,2.60422605308447,2.146128035678238,0.8240943727355557,0.11394335230683679,0.14254669350219618,0.14254669350219618,0.004747639679451533,0.11394335230683679,0.11394335230683679,0.7993405494535817,1.5314789170422551,1.8249931222365385,1.0,2.0,1.0,0.00029981988264193165,0.00303929017868085,10.13705345989548,0.24444444444444446,0.7555555555555555,0.19631901840490798,0.1846153846153846,0.7552447552447551,0.8031232571109871,0.007692307692307692,0.32653061224489793,0.08662453923117429
